FECHA;HORA;DIRECCION;LATITUD;LONGITUD
2025-11-24;10:00:00;DG 40 C SUR 72 N BIS 02;4.61121807;-74.15031967
2025-11-12;14:37:00;KR 13 35 99;4.62389048;-74.06776128
2025-11-18;06:05:00;AU DEL NORTE 118 30;4.70096802;-74.05451385
2025-11-11;07:20:00;AVENIDA CIUDAD DE CALI 26 02;4.67844873;-74.12035135
2025-11-12;06:30:00;AK 30 2 02;4.60214941;-74.10204796
2025-05-21;16:00:00;CL 13 14 02;4.60372146;-74.07986072
2025-05-24;22:30:00;CL 80 120 02;4.72767846;-74.1256397
2025-05-25;10:35:00;KR 18 J 61 SUR 02;4.55523158;-74.13795954
2025-06-15;02:44:00;KR 45 A 134 A 02;4.71977703;-74.05282113
2025-06-15;04:45:00;CL 68 A SUR 49 02;4.57785264;-74.15662116
2025-06-14;23:30:00;CL 6 A 88 D 02;4.64602727;-74.15802758
2025-06-12;02:57:00;CL 17 89 02;4.66242496;-74.13841871
2025-06-04;13:18:00;AVENIDA BOYACA 45 A SUR 02;4.59525159;-74.14543537
2025-06-13;10:30:00;KR 116 22 02;4.68662091;-74.15044921
2025-06-14;14:20:00;CL 11 A BIS 72 B 02;4.6433932;-74.13525239
2025-06-08;14:42:00;CL 8 A 19 A 02;4.60353254;-74.08831505
2025-06-18;07:40:00;KR 68 19 02;4.64247164;-74.11284555
2025-07-17;12:30:00;AVENIDA CIUDAD DE VILLAVICENCIO 45 SUR 02;4.60809045;-74.16142252
2025-07-17;01:42:00;CL 13 88 02;4.66182815;-74.13791284
2025-07-19;17:30:00;KR 88 C 49 C SUR 02;4.63131095;-74.17941306
2025-07-20;01:54:00;KR 19 F 64 SUR 02;4.56169145;-74.14519593
2025-07-22;10:40:00;CL 80 BOYACA 02;4.69540986;-74.08905214
2025-09-28;01:30:00;KR 86 42 A SUR 02;4.6304169;-74.16791399
2025-10-03;06:50:00;KR 66 13 02;4.63631038;-74.1172951
2025-10-05;13:17:00;KR 30 32 SUR 02;4.59144196;-74.11659626
2025-12-21;03:00:00;CL 44 SUR 24 02;4.57938665;-74.12547574
2025-11-21;07:50:00;KR 38 A 1 H 02;4.60739589;-74.11103494
2025-12-27;00:20:00;CL 13 33 02;4.61659622;-74.0944695
2025-12-25;00:15:00;AVENIDA CIUDAD DE CALI 62 SUR 02;4.61779127;-74.18863271
2025-12-27;05:00:00;CL 64 116 C 02;4.71113127;-74.14005803
2025-12-28;18:30:00;KR 15 BIS 18 02;4.60846968;-74.07765058
2025-12-30;17:45:00;KR 91 131 F 02;4.73028835;-74.08735956
2026-01-08;14:00:00;AVENIDA CIUDAD DE CALI 83 A 02;4.70511358;-74.09932713
2026-01-24;11:00:00;KR 77 G 76 47 SUR;4.59723218;-74.1804146
2026-01-20;20:14:00;AC 127 53 A 02;4.70826899;-74.06175904
